GeneID	name	Family.ID	source	TranscriptID	Class
LOC102653873	XP_026296441.1	ORTHOMCL10335	Amel	XM_026440656.1	NA
LOC102653879	XP_016771903.2	ORTHOMCL6448	Amel	XM_016916414.2	NonCanon
LOC102653888	XP_026301568.1	ORTHOMCL8108	Amel	XM_026445783.1	NA
LOC102653893	XP_006561980.2	ORTHOMCL3812	Amel	XM_006561917.3	NA
LOC102653910	XP_006562537.2	ORTHOMCL10428	Amel	XM_006562474.3	NA
LOC102653920	XP_006561981.1	ORTHOMCL5576	Amel	XM_006561918.3	NA
LOC102653922	XP_026299926.1	ORTHOMCL1884	Amel	XM_026444141.1	NA
LOC102653928	XP_006558504.1	ORTHOMCL9273	Amel	XM_006558441.3	NA
LOC102653930	XP_006558963.1	ORTHOMCL3623	Amel	XM_006558900.3	NonCanon
LOC102653932	XP_026298717.1	ORTHOMCL5821	Amel	XM_026442932.1	NA
LOC102653935	XP_006564042.1	ORTHOMCL8394	Amel	XM_006563979.3	NA
LOC102653938	XP_006568497.1	ORTHOMCL8051	Amel	XM_006568434.3	NA
LOC102653940	XP_006568962.1	ORTHOMCL4509	Amel	XM_006568899.3	NA
LOC102653947	XP_006559363.2	ORTHOMCL8866	Amel	XM_006559300.3	NA
LOC102653951	XP_026301258.1	ORTHOMCL4711	Amel	XM_026445473.1	NonCanon
LOC102653952	XP_006558067.1	ORTHOMCL8097	Amel	XM_006558004.3	NA
LOC102653955	XP_026296263.1	ORTHOMCL861	Amel	XM_026440478.1	NA
LOC102653956	XP_016772131.1	ORTHOMCL9414	Amel	XM_016916642.1	NA
LOC102653957	XP_026301813.1	ORTHOMCL4433	Amel	XM_026446028.1	NA
LOC102653958	XP_026300069.1	ORTHOMCL8606	Amel	XM_026444284.1	NA
LOC102653960	XP_006568426.2	ORTHOMCL8282	Amel	XM_006568363.3	NA
LOC102653961	XP_026294994.1	ORTHOMCL1931	Amel	XM_026439209.1	NA
LOC102653965	XP_006560751.3	ORTHOMCL4748	Amel	XM_006560688.3	NA
LOC102653966	XP_006561028.1	ORTHOMCL10453	Amel	XM_006560965.1	NA
LOC102653979	XP_026301740.1	ORTHOMCL10267	Amel	XM_026445955.1	NA
LOC102653988	XP_006560496.2	ORTHOMCL8966	Amel	XM_006560433.2	NA
LOC102653993	XP_016770328.1	ORTHOMCL6742	Amel	XM_016914839.2	NA
LOC102653994	XP_006566609.2	ORTHOMCL9118	Amel	XM_006566546.3	NA
LOC102654007	XP_006561478.1	ORTHOMCL8675	Amel	XM_006561415.2	NA
LOC102654008	XP_006561942.2	ORTHOMCL8541	Amel	XM_006561879.3	NA
LOC102654012	XP_006566977.1	ORTHOMCL3813	Amel	XM_006566914.3	NA
LOC102654014	XP_006568623.1	ORTHOMCL7541	Amel	XM_006568560.2	NonCanon
LOC102654025	XP_006562430.2	ORTHOMCL4746	Amel	XM_006562367.3	NA
LOC102654029	XP_026299084.1	ORTHOMCL4076	Amel	XM_026443299.1	NA
LOC102654041	XP_026299486.1	ORTHOMCL8755	Amel	XM_026443701.1	NA
LOC102654047	XP_006557437.1	ORTHOMCL3421	Amel	XM_006557374.3	NA
LOC102654049	XP_026300573.1	ORTHOMCL5633	Amel	XM_026444788.1	NA
LOC102654053	XP_006561943.2	ORTHOMCL8247	Amel	XM_006561880.3	NA
LOC102654069	XP_006565594.3	ORTHOMCL8224	Amel	XM_006565531.3	NA
LOC102654074	XP_006572184.2	ORTHOMCL1909	Amel	XM_006572121.2	NA
LOC102654078	XP_016771063.1	ORTHOMCL8056	Amel	XM_016915574.2	NA
LOC102654083	XP_026299531.1	ORTHOMCL199	Amel	XM_026443746.1	NA
LOC102654084	XP_016772149.1	ORTHOMCL955	Amel	XM_016916660.2	NonCanon
LOC102654090	XP_016770709.1	ORTHOMCL3067	Amel	XM_016915220.1	NA
LOC102654091	XP_026296669.1	ORTHOMCL1389	Amel	XM_026440884.1	NA
LOC102654099	XP_006571975.2	ORTHOMCL9448	Amel	XM_006571912.3	NA
LOC102654108	XP_006559684.2	ORTHOMCL2887	Amel	XM_006559621.3	NA
LOC102654111	XP_016772077.1	ORTHOMCL376	Amel	XM_016916588.2	NA
LOC102654114	XP_026300447.1	ORTHOMCL8581	Amel	XM_026444662.1	NA
LOC102654121	XP_006564210.1	ORTHOMCL8643	Amel	XM_006564147.3	NA
LOC102654122	XP_006565476.1	ORTHOMCL10425	Amel	XM_006565413.3	NA
LOC102654127	XP_006567699.1	ORTHOMCL4738	Amel	XM_006567636.3	NA
LOC102654146	XP_006572092.1	ORTHOMCL2957	Amel	XM_006572029.2	NonCanon
LOC102654158	XP_006561944.2	ORTHOMCL6160	Amel	XM_006561881.3	NA
LOC102654159	XP_026297064.1	ORTHOMCL736	Amel	XM_026441279.1	NA
LOC102654160	XP_026300780.1	ORTHOMCL6981	Amel	XM_026444995.1	NA
LOC102654161	XP_006566551.2	ORTHOMCL8870	Amel	XM_006566488.2	NA
LOC102654165	XP_006558573.2	ORTHOMCL1744	Amel	XM_006558510.3	NonCanon
LOC102654169	XP_016766950.1	ORTHOMCL3130	Amel	XM_016911461.2	NA
LOC102654173	XP_006568307.1	ORTHOMCL8131	Amel	XM_006568244.3	NA
LOC102654175	XP_026300352.1	ORTHOMCL7893	Amel	XM_026444567.1	NA
LOC102654183	XP_026300228.1	ORTHOMCL2338	Amel	XM_026444443.1	NA
LOC102654184	XP_006560864.1	ORTHOMCL9076	Amel	XM_006560801.3	NA
LOC102654186	XP_006567770.1	ORTHOMCL5203	Amel	XM_006567707.3	NA
LOC102654192	XP_006557880.1	ORTHOMCL8631	Amel	XM_006557817.3	NonCanon
LOC102654206	XP_006560097.1	ORTHOMCL6313	Amel	XM_006560034.3	NA
LOC102654211	XP_006562278.2	ORTHOMCL8481	Amel	XM_006562215.3	NonCanon
LOC102654212	XP_006563925.1	ORTHOMCL9046	Amel	XM_006563862.3	NA
LOC102654216	XP_006571977.2	ORTHOMCL10369	Amel	XM_006571914.3	NA
LOC102654242	XP_026299130.1	ORTHOMCL8714	Amel	XM_026443345.1	NA
LOC102654245	XP_026294938.1	ORTHOMCL10298	Amel	XM_026439153.1	NA
LOC102654246	XP_006561945.1	ORTHOMCL7980	Amel	XM_006561882.3	NA
LOC102654257	XP_006571771.1	ORTHOMCL1501	Amel	XM_006571708.3	NA
LOC102654261	XP_006561079.1	ORTHOMCL5278	Amel	XM_006561016.3	NA
LOC102654268	XP_006557769.1	ORTHOMCL8632	Amel	XM_006557706.3	NA
LOC102654271	XP_006558732.1	ORTHOMCL8286	Amel	XM_006558669.3	NA
LOC102654281	XP_006557337.2	ORTHOMCL4849	Amel	XM_006557274.3	NA
LOC102654282	XP_006557511.1	ORTHOMCL2888	Amel	XM_006557448.3	NA
LOC102654286	XP_016770129.1	ORTHOMCL6861	Amel	XM_016914640.2	NA
LOC102654289	XP_026301561.1	ORTHOMCL3370	Amel	XM_026445776.1	NA
LOC102654309	XP_026294927.1	ORTHOMCL2579	Amel	XM_026439142.1	NA
LOC102654312	XP_006558733.1	ORTHOMCL7805	Amel	XM_006558670.3	NonCanon
LOC102654315	XP_006560308.3	ORTHOMCL8589	Amel	XM_006560245.3	NA
LOC102654344	XP_026297181.1	ORTHOMCL7611	Amel	XM_026441396.1	NA
LOC102654345	XP_006562042.1	ORTHOMCL8874	Amel	XM_006561979.3	NA
LOC102654349	XP_026299076.1	ORTHOMCL2318	Amel	XM_026443291.1	NonCanon
LOC102654353	XP_006571382.1	ORTHOMCL752	Amel	XM_006571319.3	NonCanon
LOC102654355	XP_006572096.1	ORTHOMCL2562	Amel	XM_006572033.3	NA
LOC102654365	XP_026297130.1	ORTHOMCL5851	Amel	XM_026441345.1	NonCanon
LOC102654366	XP_026297322.1	ORTHOMCL574	Amel	XM_026441537.1	NA
LOC102654371	XP_006559491.1	ORTHOMCL6867	Amel	XM_006559428.3	NA
LOC102654379	XP_026296436.1	ORTHOMCL831	Amel	XM_026440651.1	NA
LOC102654380	XP_016773450.1	ORTHOMCL9635	Amel	XM_016917961.2	NA
LOC102654384	XP_006561138.2	ORTHOMCL3878	Amel	XM_006561075.3	NA
LOC102654395	XP_006560694.2	ORTHOMCL1008	Amel	XM_006560631.3	NA
LOC102654398	XP_006561986.1	ORTHOMCL6124	Amel	XM_006561923.3	NA
LOC102654405	XP_006570633.1	ORTHOMCL877	Amel	XM_006570570.3	NA
LOC102654408	XP_006557939.2	ORTHOMCL9668	Amel	XM_006557876.2	NA
LOC102654426	XP_006561192.1	ORTHOMCL4005	Amel	XM_006561129.3	NA
LOC102654436	XP_006558908.1	ORTHOMCL8227	Amel	XM_006558845.3	NA
LOC102654448	XP_026300384.1	ORTHOMCL7173	Amel	XM_026444599.1	NA
LOC102654452	XP_026294942.1	ORTHOMCL8027	Amel	XM_026439157.1	NA
LOC102654461	XP_026301652.1	ORTHOMCL7959	Amel	XM_026445867.1	NA
LOC102654465	XP_026295913.1	ORTHOMCL6403	Amel	XM_026440128.1	NA
LOC102654470	XP_026296502.1	ORTHOMCL5626	Amel	XM_026440717.1	NA
LOC102654481	XP_006563377.2	ORTHOMCL7916	Amel	XM_006563314.2	NA
LOC102654482	XP_006564214.1	ORTHOMCL10266	Amel	XM_006564151.3	NA
LOC102654488	XP_026295441.1	ORTHOMCL2557	Amel	XM_026439656.1	NA
LOC102654495	XP_026297704.1	ORTHOMCL7985	Amel	XM_026441919.1	NA
LOC102654510	XP_026296459.1	ORTHOMCL792	Amel	XM_026440674.1	NA
LOC102654517	XP_006561083.2	ORTHOMCL8748	Amel	XM_006561020.3	NA
LOC102654520	XP_016772606.2	ORTHOMCL8579	Amel	XM_016917117.2	NA
LOC102654533	XP_006558800.1	ORTHOMCL9873	Amel	XM_006558737.3	NA
LOC102654534	XP_006560103.1	ORTHOMCL5169	Amel	XM_006560040.3	NA
LOC102654541	XP_006567534.1	ORTHOMCL9251	Amel	XM_006567471.3	NA
LOC102654542	XP_026296671.1	ORTHOMCL8788	Amel	XM_026440886.1	NA
LOC102654555	XP_006568633.1	ORTHOMCL4818	Amel	XM_006568570.2	NA
LOC102654567	XP_006567707.1	ORTHOMCL8231	Amel	XM_006567644.3	NA
LOC102654576	XP_006557710.2	ORTHOMCL9427	Amel	XM_006557647.2	NA
LOC102654580	XP_006562706.1	ORTHOMCL8383	Amel	XM_006562643.3	NA
LOC102654592	XP_026297712.1	ORTHOMCL8199	Amel	XM_026441927.1	NA
LOC102654594	XP_006559868.1	ORTHOMCL7550	Amel	XM_006559805.3	NA
LOC102654597	XP_026301505.1	ORTHOMCL7910	Amel	XM_026445720.1	NA
LOC102654608	XP_006560384.1	ORTHOMCL6808	Amel	XM_006560321.3	NA
LOC102654610	XP_026301507.1	ORTHOMCL5397	Amel	XM_026445722.1	NonCanon
LOC102654621	XP_006560104.2	ORTHOMCL3777	Amel	XM_006560041.3	NonCanon
LOC102654626	XP_006565482.2	ORTHOMCL7048	Amel	XM_006565419.3	NA
LOC102654640	XP_006563163.3	ORTHOMCL5130	Amel	XM_006563100.3	NA
LOC102654641	XP_026298207.1	ORTHOMCL8291	Amel	XM_026442422.1	NA
LOC102654652	XP_016772089.2	ORTHOMCL8495	Amel	XM_016916600.2	NA
LOC102654653	XP_006565932.2	ORTHOMCL4907	Amel	XM_006565869.3	NA
LOC102654660	XP_006560105.2	ORTHOMCL8043	Amel	XM_006560042.3	NA
LOC102654676	XP_026300848.1	ORTHOMCL2813	Amel	XM_026445063.1	NA
LOC102654681	XP_026301949.1	ORTHOMCL7382	Amel	XM_026446164.1	NA
LOC102654682	XP_026295501.1	ORTHOMCL4241	Amel	XM_026439716.1	NA
LOC102654685	XP_006557713.1	ORTHOMCL2523	Amel	XM_006557650.3	NA
LOC102654691	XP_006561629.1	ORTHOMCL5425	Amel	XM_006561566.3	NA
LOC102654696	XP_006566030.1	ORTHOMCL9477	Amel	XM_006565967.3	NA
LOC102654708	XP_026301246.1	ORTHOMCL2583	Amel	XM_026445461.1	NA
LOC102654715	XP_006567782.2	ORTHOMCL3791	Amel	XM_006567719.3	NA
LOC102654726	XP_026294932.1	ORTHOMCL1804	Amel	XM_026439147.1	NA
LOC102654729	XP_026294844.1	ORTHOMCL8684	Amel	XM_026439059.1	NA
LOC102654737	XP_006563707.1	ORTHOMCL8283	Amel	XM_006563644.3	NA
LOC102654745	XP_006558738.3	ORTHOMCL10432	Amel	XM_006558675.3	NA
LOC102654746	XP_006558979.1	ORTHOMCL8469	Amel	XM_006558916.3	NA
LOC102654763	XP_016767203.1	ORTHOMCL9465	Amel	XM_016911714.2	NA
LOC102654768	XP_026301405.1	ORTHOMCL4645	Amel	XM_026445620.1	NA
LOC102654773	XP_006562779.1	ORTHOMCL9409	Amel	XM_006562716.3	NA
LOC102654781	XP_026298823.1	ORTHOMCL9650	Amel	XM_026443038.1	NA
LOC102654782	XP_026300513.1	ORTHOMCL9890	Amel	XM_026444728.1	NA
LOC102654783	XP_026300708.1	ORTHOMCL8587	Amel	XM_026444923.1	NA
LOC102654791	XP_016769618.2	ORTHOMCL1097	Amel	XM_016914129.2	NA
LOC102654795	XP_016769640.2	ORTHOMCL3875	Amel	XM_016914151.2	NA
LOC102654799	XP_026302097.1	ORTHOMCL9282	Amel	XM_026446312.1	NA
LOC102654800	XP_006571987.1	ORTHOMCL9297	Amel	XM_006571924.1	NonCanon
LOC102654839	XP_006563020.1	ORTHOMCL7191	Amel	XM_006562957.3	NA
LOC102654858	XP_006562780.1	ORTHOMCL9137	Amel	XM_006562717.3	NA
LOC102654860	XP_006565441.2	ORTHOMCL10412	Amel	XM_006565378.3	NA
LOC102654867	XP_026300118.1	ORTHOMCL6750	Amel	XM_026444333.1	NA
LOC102654871	XP_006571897.1	ORTHOMCL4675	Amel	XM_006571834.3	NA
LOC102654890	XP_006563093.1	ORTHOMCL6944	Amel	XM_006563030.3	NA
LOC102654894	XP_026301841.1	ORTHOMCL8063	Amel	XM_026446056.1	NA
LOC102654897	XP_006560111.1	ORTHOMCL4621	Amel	XM_006560048.3	NA
LOC102654905	XP_006568264.1	ORTHOMCL1496	Amel	XM_006568201.2	NA
LOC102654906	XP_026301777.1	ORTHOMCL1400	Amel	XM_026445992.1	NA
LOC102654911	XP_006562334.1	ORTHOMCL3287	Amel	XM_006562271.3	NA
LOC102654919	XP_006558513.3	ORTHOMCL5971	Amel	XM_006558450.3	NA
LOC102654920	XP_006560462.1	ORTHOMCL8864	Amel	XM_006560399.3	NA
LOC102654925	XP_006563575.2	ORTHOMCL7338	Amel	XM_006563512.3	NA
LOC102654930	XP_006570030.3	ORTHOMCL8294	Amel	XM_006569967.3	NA
LOC102654936	XP_006565268.1	ORTHOMCL8297	Amel	XM_006565205.3	NA
LOC102654949	XP_026296211.1	ORTHOMCL8980	Amel	XM_026440426.1	NA
LOC102654952	XP_006572051.3	ORTHOMCL1720	Amel	XM_006571988.3	NA
LOC102654955	XP_006559199.1	ORTHOMCL3286	Amel	XM_006559136.3	NA
LOC102654959	XP_006566924.1	ORTHOMCL3174	Amel	XM_006566861.3	NA
LOC102654964	XP_026300537.1	ORTHOMCL8289	Amel	XM_026444752.1	NA
LOC102654965	XP_016767258.1	ORTHOMCL5115	Amel	XM_016911769.2	NA
LOC102654968	XP_006565269.1	ORTHOMCL8762	Amel	XM_006565206.3	NA
LOC102654970	NP_001314881.1	ORTHOMCL8491	Amel	NM_001327952.1	NA
LOC102654975	XP_006562717.2	ORTHOMCL167	Amel	XM_006562654.3	NA
LOC102654986	XP_026300616.1	ORTHOMCL2969	Amel	XM_026444831.1	NA
LOC102654987	XP_006564273.1	ORTHOMCL3206	Amel	XM_006564210.3	NonCanon
LOC102654993	XP_016767788.2	ORTHOMCL8622	Amel	XM_016912299.2	NA
LOC102654994	XP_026296676.1	ORTHOMCL8972	Amel	XM_026440891.1	NA
LOC102655009	XP_006557839.1	ORTHOMCL8429	Amel	XM_006557776.3	NA
LOC102655030	XP_026299504.1	ORTHOMCL7555	Amel	XM_026443719.1	NA
LOC102655031	XP_006562962.1	ORTHOMCL7426	Amel	XM_006562899.3	NA
LOC102655034	XP_006571336.1	ORTHOMCL7838	Amel	XM_006571273.3	NA
LOC102655047	XP_016769365.2	ORTHOMCL1378	Amel	XM_016913876.2	NA
LOC102655050	XP_026295161.1	ORTHOMCL9250	Amel	XM_026439376.1	NA
LOC102655054	XP_006560463.2	ORTHOMCL7436	Amel	XM_006560400.3	NA
LOC102655057	XP_026298319.1	ORTHOMCL5141	Amel	XM_026442534.1	NA
LOC102655078	XP_006559381.2	ORTHOMCL9154	Amel	XM_006559318.3	NA
LOC102655090	XP_006570271.1	ORTHOMCL6185	Amel	XM_006570208.3	NA
LOC102655092	XP_006557596.2	ORTHOMCL9636	Amel	XM_006557533.3	NA
LOC102655097	XP_006563262.2	ORTHOMCL8320	Amel	XM_006563199.3	NA
LOC102655100	XP_026294898.1	ORTHOMCL6842	Amel	XM_026439113.1	NA
LOC102655102	XP_016770854.2	ORTHOMCL9156	Amel	XM_016915365.2	NA
LOC102655107	XP_006558641.1	ORTHOMCL8665	Amel	XM_006558578.3	NA
LOC102655111	XP_006564161.1	ORTHOMCL7994	Amel	XM_006564098.3	NonCanon
LOC102655112	XP_026296453.1	ORTHOMCL1572	Amel	XM_026440668.1	NA
LOC102655126	XP_026301232.1	ORTHOMCL2019	Amel	XM_026445447.1	NA
LOC102655127	XP_006564545.3	ORTHOMCL5039	Amel	XM_006564482.3	NA
LOC102655130	XP_026297152.1	ORTHOMCL6559	Amel	XM_026441367.1	NA
LOC102655131	XP_026300909.1	ORTHOMCL3583	Amel	XM_026445124.1	NA
LOC102655134	XP_026296626.1	ORTHOMCL9907	Amel	XM_026440841.1	NA
LOC102655138	XP_006563822.1	ORTHOMCL8753	Amel	XM_006563759.3	NA
LOC102655139	XP_006564219.1	ORTHOMCL8221	Amel	XM_006564156.3	NA
LOC102655141	XP_016769957.1	ORTHOMCL3160	Amel	XM_016914468.2	NA
LOC102655148	XP_026296670.1	ORTHOMCL8179	Amel	XM_026440885.1	NA
LOC102655153	XP_006562396.1	ORTHOMCL9306	Amel	XM_006562333.3	NA
LOC102655156	XP_016770119.1	ORTHOMCL4942	Amel	XM_016914630.2	NA
LOC102655168	XP_026296715.1	ORTHOMCL6626	Amel	XM_026440930.1	NA
LOC102655185	XP_026299765.1	ORTHOMCL8881	Amel	XM_026443980.1	NA
LOC102655188	XP_016769366.2	ORTHOMCL2360	Amel	XM_016913877.2	NA
LOC102655189	XP_016766912.1	ORTHOMCL5540	Amel	XM_016911423.2	NA
LOC102655202	XP_006571789.1	ORTHOMCL8049	Amel	XM_006571726.3	NA
LOC102655203	XP_006571904.1	ORTHOMCL2935	Amel	XM_006571841.3	NA
LOC102655217	XP_006570273.1	ORTHOMCL6989	Amel	XM_006570210.2	NA
LOC102655218	XP_026294841.1	ORTHOMCL4405	Amel	XM_026439056.1	NA
LOC102655219	XP_006572304.1	ORTHOMCL5993	Amel	XM_006572241.3	NonCanon
LOC102655220	XP_006572449.2	ORTHOMCL8582	Amel	XM_006572386.3	NA
LOC102655238	XP_006562545.3	ORTHOMCL6383	Amel	XM_006562482.3	NA
LOC102655240	XP_006564277.1	ORTHOMCL6471	Amel	XM_006564214.3	NA
LOC102655243	XP_016772171.1	ORTHOMCL1326	Amel	XM_016916682.2	NA
LOC102655244	XP_026298456.1	ORTHOMCL3833	Amel	XM_026442671.1	NonCanon
LOC102655247	XP_026300969.1	ORTHOMCL9440	Amel	XM_026445184.1	NA
LOC102655249	XP_026302061.1	ORTHOMCL2281	Amel	XM_026446276.1	NA
LOC102655259	XP_006568521.2	ORTHOMCL4861	Amel	XM_006568458.3	NonCanon
LOC102655263	XP_026299811.1	ORTHOMCL6350	Amel	XM_026444026.1	NA
LOC102655268	XP_006557897.2	ORTHOMCL9129	Amel	XM_006557834.3	NA
LOC102655272	XP_006562448.1	ORTHOMCL5430	Amel	XM_006562385.3	NA
LOC102655282	XP_016766807.2	ORTHOMCL1908	Amel	XM_016911318.2	NA
LOC102655284	XP_006570730.1	ORTHOMCL4642	Amel	XM_006570667.3	NA
LOC102655306	XP_006561098.2	ORTHOMCL6272	Amel	XM_006561035.3	NA
LOC102655319	XP_026298621.1	ORTHOMCL4140	Amel	XM_026442836.1	NA
LOC102655329	XP_006566156.1	ORTHOMCL3737	Amel	XM_006566093.3	NA
LOC102655332	XP_006559876.1	ORTHOMCL4008	Amel	XM_006559813.3	NA
LOC102655352	XP_006563773.1	ORTHOMCL8613	Amel	XM_006563710.3	NA
LOC102655353	XP_026299475.1	ORTHOMCL10436	Amel	XM_026443690.1	NA
LOC102655356	XP_006570731.1	ORTHOMCL6781	Amel	XM_006570668.3	NA
LOC102655388	XP_026302294.1	ORTHOMCL1525	Amel	XM_026446509.1	NonCanon
LOC102655391	XP_026300751.1	ORTHOMCL2521	Amel	XM_026444966.1	NA
LOC102655392	XP_006563942.2	ORTHOMCL2823	Amel	XM_006563879.3	NA
LOC102655399	XP_006568583.2	ORTHOMCL7452	Amel	XM_006568520.3	NA
LOC102655411	XP_016770755.1	ORTHOMCL4038	Amel	XM_016915266.2	NA
LOC102655420	XP_006566279.1	ORTHOMCL9237	Amel	XM_006566216.3	NA
LOC102655429	XP_016769648.2	ORTHOMCL6266	Amel	XM_016914159.2	NA
LOC102655436	XP_026300238.1	ORTHOMCL3691	Amel	XM_026444453.1	NA
LOC102655440	XP_026299452.1	ORTHOMCL4970	Amel	XM_026443667.1	NA
LOC102655446	XP_006561322.1	ORTHOMCL2479	Amel	XM_006561259.3	NA
LOC102655452	XP_006567237.1	ORTHOMCL2186	Amel	XM_006567174.3	NA
LOC102655457	XP_006561050.1	ORTHOMCL5463	Amel	XM_006560987.3	NA
LOC102655461	XP_006563527.1	ORTHOMCL8652	Amel	XM_006563464.3	NA
LOC102655466	XP_016767094.2	ORTHOMCL7407	Amel	XM_016911605.2	NA
LOC102655469	XP_026301635.1	ORTHOMCL5402	Amel	XM_026445850.1	NA
LOC102655470	XP_026299259.1	ORTHOMCL1498	Amel	XM_026443474.1	NonCanon
LOC102655476	XP_006561967.2	ORTHOMCL1592	Amel	XM_006561904.3	NA
LOC102655479	XP_006565626.2	ORTHOMCL5531	Amel	XM_006565563.3	NA
LOC102655493	XP_026302060.1	ORTHOMCL2347	Amel	XM_026446275.1	NA
LOC102655503	XP_026295825.1	ORTHOMCL4028	Amel	XM_026440040.1	NA
LOC102655512	XP_026298628.1	ORTHOMCL8228	Amel	XM_026442843.1	NA
LOC102655520	XP_006561054.1	ORTHOMCL5990	Amel	XM_006560991.3	NA
LOC102655521	XP_026299080.1	ORTHOMCL9620	Amel	XM_026443295.1	NA
LOC102655523	XP_026299469.1	ORTHOMCL9272	Amel	XM_026443684.1	NonCanon
LOC102655530	XP_006571195.2	ORTHOMCL8920	Amel	XM_006571132.3	NA
LOC102655538	XP_026301506.1	ORTHOMCL1401	Amel	XM_026445721.1	NA
LOC102655540	XP_006563344.1	ORTHOMCL5867	Amel	XM_006563281.3	NA
LOC102655563	XP_026296716.1	ORTHOMCL1772	Amel	XM_026440931.1	NA
LOC102655564	XP_026299690.1	ORTHOMCL7177	Amel	XM_026443905.1	NA
LOC102655585	XP_006563594.1	ORTHOMCL6656	Amel	XM_006563531.3	NA
LOC102655592	XP_006567241.2	ORTHOMCL8400	Amel	XM_006567178.3	NA
LOC102655603	XP_006559710.1	ORTHOMCL8363	Amel	XM_006559647.1	NonCanon
LOC102655612	XP_026298995.1	ORTHOMCL986	Amel	XM_026443210.1	NonCanon
LOC102655617	XP_016772611.1	ORTHOMCL4933	Amel	XM_016917122.2	NA
LOC102655618	XP_026301310.1	ORTHOMCL1207	Amel	XM_026445525.1	NA
LOC102655622	XP_016767291.1	ORTHOMCL7213	Amel	XM_016911802.2	NA
LOC102655631	XP_026300233.1	ORTHOMCL683	Amel	XM_026444448.1	NA
LOC102655636	XP_006571524.1	ORTHOMCL9150	Amel	XM_006571461.3	NA
LOC102655639	XP_006560829.2	ORTHOMCL8811	Amel	XM_006560766.3	NA
LOC102655654	XP_026302045.1	ORTHOMCL9235	Amel	XM_026446260.1	NA
LOC102655661	XP_006567733.2	ORTHOMCL6059	Amel	XM_006567670.3	NA
LOC102655670	XP_026301284.1	ORTHOMCL8117	Amel	XM_026445499.1	NA
LOC102655673	XP_006563595.1	ORTHOMCL7774	Amel	XM_006563532.3	NA
LOC102655679	XP_006570793.1	ORTHOMCL4837	Amel	XM_006570730.2	NonCanon
LOC102655688	XP_006566648.1	ORTHOMCL6778	Amel	XM_006566585.3	NonCanon
LOC102655689	XP_026298171.1	ORTHOMCL6205	Amel	XM_026442386.1	NA
LOC102655690	XP_026298041.1	ORTHOMCL9285	Amel	XM_026442256.1	NA
LOC102655706	XP_006558825.2	ORTHOMCL2489	Amel	XM_006558762.3	NA
LOC102655709	XP_006561056.2	ORTHOMCL8246	Amel	XM_006560993.3	NA
LOC102655710	XP_026300269.1	ORTHOMCL9266	Amel	XM_026444484.1	NA
LOC102655740	XP_006567371.1	ORTHOMCL4426	Amel	XM_006567308.3	NA
LOC102655754	XP_006562554.1	ORTHOMCL547	Amel	XM_006562491.3	NA
LOC102655756	XP_006566230.1	ORTHOMCL8727	Amel	XM_006566167.3	NA
LOC102655762	XP_016772311.2	ORTHOMCL8183	Amel	XM_016916822.2	NA
LOC102655764	XP_006563720.1	ORTHOMCL8908	Amel	XM_006563657.3	NA
LOC102655765	XP_026299155.1	ORTHOMCL8200	Amel	XM_026443370.1	NA
LOC102655778	XP_016773304.2	ORTHOMCL4768	Amel	XM_016917815.2	NA
LOC102655788	XP_006557955.1	ORTHOMCL8796	Amel	XM_006557892.3	NA
LOC102655796	XP_016767412.1	ORTHOMCL2301	Amel	XM_016911923.2	NA
LOC102655798	XP_006563533.1	ORTHOMCL9422	Amel	XM_006563470.3	NA
LOC102655810	XP_006561107.1	ORTHOMCL8636	Amel	XM_006561044.3	NA
LOC102655811	XP_016768267.1	ORTHOMCL9042	Amel	XM_016912778.2	NA
LOC102655814	XP_026297684.1	ORTHOMCL8012	Amel	XM_026441899.1	NonCanon
LOC102655815	XP_006565783.1	ORTHOMCL7561	Amel	XM_006565720.3	NA
LOC102655819	XP_006571805.1	ORTHOMCL2930	Amel	XM_006571742.3	NA
LOC102655824	XP_006565223.1	ORTHOMCL4817	Amel	XM_006565160.3	NA
LOC102655836	XP_006559584.2	ORTHOMCL7209	Amel	XM_006559521.3	NonCanon
LOC102655838	XP_006560668.1	ORTHOMCL9626	Amel	XM_006560605.3	NonCanon
LOC102655841	XP_006564118.1	ORTHOMCL7285	Amel	XM_006564055.3	NA
LOC102655844	XP_006565784.1	ORTHOMCL9413	Amel	XM_006565721.3	NA
LOC102655859	XP_006557363.2	ORTHOMCL7853	Amel	XM_006557300.3	NA
LOC102655877	XP_006559585.1	ORTHOMCL3912	Amel	XM_006559522.3	NonCanon
LOC102655879	XP_016771976.2	ORTHOMCL2658	Amel	XM_016916487.2	NA
LOC102655882	XP_026302115.1	ORTHOMCL3326	Amel	XM_026446330.1	NA
LOC102655889	XP_026297169.1	ORTHOMCL9936	Amel	XM_026441384.1	NA
LOC102655896	XP_006570876.1	ORTHOMCL8239	Amel	XM_006570813.3	NonCanon
LOC102655897	XP_016772901.2	ORTHOMCL5384	Amel	XM_016917412.2	NA
LOC102655898	XP_026296200.1	ORTHOMCL8048	Amel	XM_026440415.1	NonCanon
LOC102655899	XP_006561057.2	ORTHOMCL8102	Amel	XM_006560994.2	NA
LOC102655904	XP_006564236.1	ORTHOMCL7294	Amel	XM_006564173.3	NonCanon
LOC102655905	XP_026295866.1	ORTHOMCL9104	Amel	XM_026440081.1	NA
