	pvalue	GeneID	name	source	TranscriptID	Class	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL452	0.0	LOC409185	XP_006557654.1	Amel	XM_006557591.3	Background		2	1	1	3	7	1	3	2	1	0	1
ORTHOMCL458	0.001	LOC724279	XP_026301958.1	Amel	XM_026446173.1	Background		1	1	4	4	4	2	1	1	1	0	3
ORTHOMCL459	0.013000000000000001	LOC413012	XP_026296675.1	Amel	XM_026440890.1	Background		2	1	4	3	1	2	1	1	2	2	3
ORTHOMCL461	0.002	LOC411095	XP_003250684.1	Amel	XM_003250636.3	Background		1	1	5	6	1	2	1	1	1	1	2
ORTHOMCL465	0.002	LOC100576915	XP_016769823.2	Amel	XM_016914334.2	Background		1	1	3	5	3	1	3	1	1	1	2
ORTHOMCL468	0.002	LOC100576251	XP_016771752.1	Amel	XM_016916263.2	Background		2	1	1	2	2	2	6	1	2	2	1
ORTHOMCL470	0.001	LOC409357	XP_016769479.1	Amel	XM_016913990.2	Background		2	1	4	5	1	2	3	1	1	1	1
ORTHOMCL477	0.0	LOC413125	XP_016771019.1	Amel	XM_016915530.2	Background		1	1	1	9	2	1	2	1	1	1	2
ORTHOMCL481	0.001	LOC552585	XP_016768447.1	Amel	XM_016912958.2	Background		1	1	7	6	1	1	1	1	1	1	1
ORTHOMCL482	0.0	LOC100576805	XP_003250539.1	Amel	XM_003250491.4	Background		1	1	4	6	2	1	1	1	1	1	3
ORTHOMCL487	0.0	LOC551272	XP_026300603.1	Amel	XM_026444818.1	Background		1	1	1	1	2	6	4	1	2	2	1
ORTHOMCL490	0.0	LOC724851	XP_001120755.1	Amel	XM_001120755.5	Background		1	1	1	5	3	1	3	1	1	0	5
ORTHOMCL495	0.001	LOC552239	XP_026298070.1	Amel	XM_026442285.1	Background		1	1	6	7	1	1	1	1	1	1	1
ORTHOMCL496	0.0	LOC551928	XP_016768933.1	Amel	XM_016913444.2	Background		1	1	5	7	1	1	2	1	1	1	1
ORTHOMCL502	0.0	LOC100577382	XP_003250338.1	Amel	XM_003250290.4	Background		1	1	3	2	8	2	1	1	1	1	1
ORTHOMCL504	0.0	LOC413141	XP_006567235.1	Amel	XM_006567172.3	Background		1	1	1	7	2	4	2	1	1	1	1
ORTHOMCL505	0.0	LOC724928	XP_003250415.1	Amel	XM_003250367.4	Background		1	1	6	5	1	1	1	1	1	1	3
ORTHOMCL509	0.001	LOC411692	XP_026297116.1	Amel	XM_026441331.1	Background		1	1	3	3	1	1	2	1	1	1	6
ORTHOMCL512	0.0	LOC413169	XP_396620.5	Amel	XM_396620.7	Background		8	1	1	1	2	1	2	1	1	1	2
ORTHOMCL513	0.0	LOC409011	XP_006561871.1	Amel	XM_006561808.3	Background		3	1	1	1	6	1	2	1	1	1	3
ORTHOMCL517	0.0	LOC410824	XP_006569018.1	Amel	XM_006568955.3	Background		2	1	0	0	4	1	4	1	1	1	6
ORTHOMCL523	0.008	LOC724333	XP_001120154.1	Amel	XM_001120154.5	Background		3	1	1	1	1	2	1	2	4	3	2
ORTHOMCL524	0.002	LOC726864	XP_016772640.1	Amel	XM_016917151.2	Background		2	1	3	4	1	1	3	1	1	1	3
ORTHOMCL525	0.002	LOC413623	XP_006558840.1	Amel	XM_006558777.3	Background		3	1	4	4	2	1	1	1	1	1	2
ORTHOMCL528	0.01	LOC413056	XP_026302052.1	Amel	XM_026446267.1	Background		2	1	1	2	1	1	2	2	2	2	5
ORTHOMCL530	0.0	LOC413503	XP_006569276.1	Amel	XM_006569213.3	Background		1	1	2	8	1	1	2	1	2	1	1
ORTHOMCL531	0.013000000000000001	LOC552328	XP_624707.2	Amel	XM_624704.6	Background		1	1	5	4	1	2	1	2	1	1	2
ORTHOMCL532	0.006999999999999999	LOC410623	XP_006561076.2	Amel	XM_006561013.3	Background		3	1	2	1	2	2	2	2	1	1	4
ORTHOMCL533	0.013000000000000001	LOC551203	XP_026302022.1	Amel	XM_026446237.1	Background		4	1	1	1	3	2	2	2	2	2	1
ORTHOMCL537	0.047	LOC409182	XP_006558244.2	Amel	XM_006558181.3	Background		1	1	4	3	2	1	3	2	1	1	2
ORTHOMCL541	0.001	LOC724468	XP_026301665.1	Amel	XM_026445880.1	Background		1	1	6	5	2	1	1	1	1	1	1
ORTHOMCL544	0.0	LOC552032	XP_003251612.1	Amel	XM_003251564.4	Background		4	1	4	3	3	1	1	1	1	1	1
ORTHOMCL545	0.0	LOC726513	XP_006564576.1	Amel	XM_006564513.2	Background		2	1	0	1	2	1	1	1	1	1	10
ORTHOMCL546	0.0	LOC100578245	XP_003249336.1	Amel	XM_003249288.4	Background		4	1	4	3	0	1	3	2	1	1	1
ORTHOMCL548	0.002	LOC412111	XP_395577.4	Amel	XM_395577.7	Background		3	1	2	2	3	4	1	1	1	1	2
ORTHOMCL549	0.0	LOC412020	XP_006570028.1	Amel	XM_006569965.3	Background		3	1	6	4	1	1	1	1	1	1	1
ORTHOMCL550	0.0	LOC410747	XP_016769490.1	Amel	XM_016914001.2	Background		1	1	0	3	6	1	5	1	1	1	1
ORTHOMCL552	0.031	LOC551429	XP_026301562.1	Amel	XM_026445777.1	Background		1	1	2	2	2	1	2	3	1	1	5
ORTHOMCL553	0.002	LOC410280	XP_393761.1	Amel	XM_393761.7	Background		1	1	3	1	2	3	3	1	1	1	4
ORTHOMCL554	0.002	LOC100578237	XP_006561470.2	Amel	XM_006561407.3	Background		1	1	1	1	10	1	1	1	1	1	2
ORTHOMCL555	0.011000000000000001	LOC552110	XP_026300235.1	Amel	XM_026444450.1	Background		3	1	2	2	1	2	1	4	2	2	1
ORTHOMCL558	0.002	LOC551938	XP_006557845.1	Amel	XM_006557782.3	Background		1	1	2	3	3	1	5	1	1	1	2
ORTHOMCL562	0.002	Camkii	NP_001128422.1	Amel	NM_001134950.1	Background		3	1	3	2	3	1	3	1	1	1	2
ORTHOMCL563	0.013000000000000001	LOC725784	XP_006564963.1	Amel	XM_006564900.3	Background		2	1	3	3	2	1	4	1	1	1	2
ORTHOMCL565	0.004	LOC411459	XP_006568070.1	Amel	XM_006568007.3	Background		1	1	4	4	4	1	2	1	1	1	1
ORTHOMCL567	0.0	LOC410803	XP_016773606.1	Amel	XM_016918117.2	Background		1	1	8	3	1	1	2	1	1	1	1
ORTHOMCL571	0.001	LOC410179	XP_006569219.1	Amel	XM_006569156.3	Background		3	1	2	4	2	1	2	1	1	1	3
ORTHOMCL574	0.001	LOC102654366	XP_026297322.1	Amel	XM_026441537.1	Background		4	2	2	1	2	1	1	1	3	3	1
ORTHOMCL575	0.001	LOC550655	XP_006564304.1	Amel	XM_006564241.3	Background		1	1	4	5	1	1	1	1	1	1	4
ORTHOMCL576	0.043	LOC726019	XP_026299493.1	Amel	XM_026443708.1	Background		2	1	3	4	1	2	1	1	2	2	2
ORTHOMCL581	0.009000000000000001	LOC551998	XP_016768555.1	Amel	XM_016913066.2	Background		2	1	2	2	4	2	1	1	1	1	4
ORTHOMCL584	0.002	LOC551328	XP_026301434.1	Amel	XM_026445649.1	Background		1	1	1	1	3	1	1	1	2	2	7
ORTHOMCL586	0.012	LOC408674	XP_006568930.1	Amel	XM_006568867.3	Background		1	1	3	3	3	1	3	1	1	1	3
ORTHOMCL587	0.013000000000000001	LOC100577409	XP_006561855.2	Amel	XM_006561792.3	Background		1	1	3	3	4	1	2	1	1	1	3
ORTHOMCL588	0.003	LOC727306	XP_001123015.2	Amel	XM_001123015.5	Background		1	1	6	6	1	1	1	1	1	1	1
ORTHOMCL590	0.001	LOC409124	XP_006559045.1	Amel	XM_006558982.3	Background		1	1	3	4	1	1	3	1	1	1	4
ORTHOMCL591	0.006999999999999999	LOC551616	XP_006559772.2	Amel	XM_006559709.3	Background		0	2	4	2	2	2	2	2	2	2	1
ORTHOMCL594	0.002	LOC409711	XP_016771833.2	Amel	XM_016916344.2	Background		3	1	2	4	2	1	1	1	1	2	2
ORTHOMCL597	0.01	LOC726461	XP_026294877.1	Amel	XM_026439092.1	Background		1	1	3	3	2	1	4	1	2	1	1
ORTHOMCL600	0.0	LOC413121	XP_016772439.2	Amel	XM_016916950.2	Background		4	1	1	2	2	1	1	2	1	1	4
ORTHOMCL602	0.0	LOC100578953	XP_026297550.1	Amel	XM_026441765.1	Background		1	1	1	1	1	1	2	1	1	1	9
ORTHOMCL604	0.0	LOC412955	XP_396406.5	Amel	XM_396406.7	Background		3	1	1	1	6	1	3	1	1	1	1
ORTHOMCL605	0.002	LOC727121	XP_006565811.2	Amel	XM_006565748.3	Background		3	1	1	2	1	1	3	3	1	1	3
ORTHOMCL606	0.002	LOC725192	XP_001121067.3	Amel	XM_001121067.5	Background		1	1	2	2	8	1	1	1	1	1	1
ORTHOMCL608	0.0	LOC410441	XP_393921.4	Amel	XM_393921.7	Background		3	1	1	1	3	3	4	1	1	1	1
ORTHOMCL609	0.048	LOC726349	XP_006571358.1	Amel	XM_006571295.3	Background		2	1	2	3	2	3	2	1	1	1	2
ORTHOMCL610	0.021	Or170	NP_001229922.1	Amel	NM_001242993.1	Background		3	3	1	1	3	2	0	1	3	1	2
ORTHOMCL612	0.001	LOC409628	XP_006559728.2	Amel	XM_006559665.3	Background		3	1	3	4	1	1	1	1	2	2	1
ORTHOMCL615	0.003	LOC100577936	XP_026297023.1	Amel	XM_026441238.1	Background		3	1	3	3	3	1	1	1	1	1	2
ORTHOMCL618	0.001	LOC100577578	XP_006571913.1	Amel	XM_006571850.3	Background		2	1	3	4	4	1	1	1	1	1	1
ORTHOMCL619	0.002	LOC410565	XP_394044.2	Amel	XM_394044.7	Background		2	1	5	4	2	1	1	1	1	1	1
ORTHOMCL622	0.006999999999999999	LOC409994	XP_006563826.1	Amel	XM_006563763.3	Background		1	1	4	4	2	3	1	1	1	1	1
ORTHOMCL623	0.002	LOC100577681	XP_026295460.1	Amel	XM_026439675.1	Background		1	1	2	3	6	1	1	1	1	2	1
ORTHOMCL626	0.0	LOC408406	XP_026300650.1	Amel	XM_026444865.1	Background		2	1	1	9	1	1	1	1	1	1	1
ORTHOMCL629	0.002	LOC100578631	XP_003251410.1	Amel	XM_003251362.4	Background		4	1	2	2	3	2	2	1	1	1	1
ORTHOMCL630	0.0	LOC551432	XP_006558259.2	Amel	XM_006558196.3	Background		2	1	1	1	2	1	1	1	1	1	8
ORTHOMCL631	0.032	LOC409022	XP_006560812.2	Amel	XM_006560749.3	Background		2	1	3	3	2	2	1	1	1	1	3
ORTHOMCL632	0.02	LOC409558	XP_016768751.1	Amel	XM_016913262.2	Background		2	1	3	4	1	2	2	1	1	1	2
ORTHOMCL636	0.002	LOC552761	XP_026300439.1	Amel	XM_026444654.1	Background		3	1	4	3	2	1	1	1	1	1	2
ORTHOMCL637	0.002	LOC100577506	XP_003249657.1	Amel	XM_003249609.4	Background		1	1	2	2	2	1	1	1	1	1	7
ORTHOMCL641	0.034	LOC412865	XP_026299791.1	Amel	XM_026444006.1	Background		1	1	3	3	3	1	3	1	1	1	2
ORTHOMCL642	0.006999999999999999	LOC408878	XP_006568300.1	Amel	XM_006568237.3	Background		1	1	6	5	1	1	1	1	1	1	1
ORTHOMCL646	0.0	LOC724372	XP_006558645.1	Amel	XM_006558582.3	Background		1	1	4	1	4	1	1	2	1	1	3
ORTHOMCL647	0.013000000000000001	LOC551720	XP_624111.1	Amel	XM_624108.6	Background		1	1	3	4	1	2	3	1	1	1	2
ORTHOMCL650	0.002	LOC725458	XP_006571173.2	Amel	XM_006571110.3	Background		2	1	4	4	3	1	1	1	1	1	1
ORTHOMCL653	0.0	LOC100579026	XP_006561782.1	Amel	XM_006561719.3	Background		2	1	2	2	1	1	1	1	1	1	7
ORTHOMCL654	0.002	LOC412299	XP_395760.4	Amel	XM_395760.7	Background		1	1	1	1	9	1	1	1	1	1	2
ORTHOMCL658	0.001	LOC724692	XP_001120583.1	Amel	XM_001120583.5	Background		1	1	4	7	1	1	1	1	1	1	1
ORTHOMCL661	0.002	LOC412784	XP_396237.5	Amel	XM_396237.6	Background		1	1	2	2	8	1	1	1	1	1	1
ORTHOMCL663	0.002	LOC411019	XP_016767126.2	Amel	XM_016911637.2	Background		1	1	4	2	4	1	1	2	2	1	1
ORTHOMCL664	0.002	LOC552273	XP_624652.1	Amel	XM_624649.5	Background		1	1	2	2	8	1	1	1	1	1	1
ORTHOMCL665	0.0	Crzr	NP_001137393.1	Amel	NM_001143921.1	Background		1	1	1	8	0	1	1	1	2	2	2
ORTHOMCL667	0.015	LOC724779	XP_026295178.1	Amel	XM_026439393.1	Background		1	1	1	1	5	1	1	2	1	1	5
ORTHOMCL668	0.0	LOC725215	XP_026296694.1	Amel	XM_026440909.1	Background		1	2	2	5	5	1	1	0	1	1	1
ORTHOMCL669	0.0	LOC100578503	XP_026297486.1	Amel	XM_026441701.1	Background		2	1	2	4	1	1	1	1	1	1	5
ORTHOMCL671	0.002	LOC413000	XP_396451.2	Amel	XM_396451.7	Background		1	1	2	3	2	2	5	1	1	1	1
ORTHOMCL678	0.013000000000000001	LOC726879	XP_026296404.1	Amel	XM_026440619.1	Background		3	1	3	2	2	1	1	1	1	2	2
ORTHOMCL681	0.011000000000000001	LOC413549	XP_396991.5	Amel	XM_396991.7	Background		1	1	3	4	3	1	2	1	1	1	1
ORTHOMCL682	0.03	LOC552554	XP_624933.3	Amel	XM_624930.6	Background		1	1	5	5	1	1	1	1	1	1	1
ORTHOMCL683	0.039	LOC102655631	XP_026300233.1	Amel	XM_026444448.1	Background		1	1	2	1	5	1	2	2	1	1	2
ORTHOMCL685	0.002	LOC409200	XP_006558304.1	Amel	XM_006558241.3	Background		2	1	1	2	3	1	1	1	1	2	4
ORTHOMCL686	0.036000000000000004	LOC550915	XP_623312.2	Amel	XM_623309.5	Background		1	1	1	1	3	2	1	1	1	1	6
ORTHOMCL690	0.001	LOC413377	XP_026301514.1	Amel	XM_026445729.1	Background		1	1	3	1	4	1	1	1	1	1	4
ORTHOMCL691	0.0	LOC100577909	XP_026301309.1	Amel	XM_026445524.1	Background		3	1	1	2	4	1	3	1	1	1	1
ORTHOMCL692	0.002	LOC409839	XP_393330.3	Amel	XM_393330.7	Background		3	1	3	3	1	1	3	1	1	1	1
ORTHOMCL695	0.002	EphR	NP_001013024.1	Amel	NM_001013006.1	Background		2	1	1	3	3	1	1	1	1	2	3
ORTHOMCL697	0.004	LOC725310	XP_006564978.1	Amel	XM_006564915.3	Background		2	1	2	1	3	1	2	1	1	1	4
ORTHOMCL699	0.0	LOC409642	XP_006563984.1	Amel	XM_006563921.3	Background		5	1	1	5	1	1	1	1	1	1	1
ORTHOMCL700	0.044000000000000004	LOC100577430	XP_026300877.1	Amel	XM_026445092.1	Background		2	2	4	4	1	1	1	1	1	1	1
ORTHOMCL701	0.001	LOC408759	XP_016766823.1	Amel	XM_016911334.2	Background		3	1	3	2	2	1	0	2	1	1	3
ORTHOMCL702	0.0	LOC409085	XP_026298510.1	Amel	XM_026442725.1	Background		6	1	2	2	1	1	1	1	1	1	2
ORTHOMCL703	0.002	LOC413547	XP_396989.2	Amel	XM_396989.6	Background		2	1	3	3	1	1	1	1	1	1	4
ORTHOMCL708	0.006999999999999999	LOC724329	XP_006568646.1	Amel	XM_006568583.3	Background		1	1	5	4	1	1	1	1	1	1	2
ORTHOMCL712	0.009000000000000001	LOC411978	XP_026296997.1	Amel	XM_026441212.1	Background		1	1	1	1	4	1	2	1	1	1	5
ORTHOMCL716	0.0	LOC412231	XP_623497.2	Amel	XM_623494.6	Background		4	1	1	1	1	3	1	1	1	1	4
ORTHOMCL717	0.03	LOC100579055	XP_026300498.1	Amel	XM_026444713.1	Background		1	1	5	5	1	1	1	1	1	1	1
ORTHOMCL718	0.0	LOC410000	XP_393488.4	Amel	XM_393488.7	Background		1	1	1	1	1	1	1	1	1	1	9
ORTHOMCL719	0.032	LOC411570	XP_006561087.1	Amel	XM_006561024.3	Background		2	1	2	2	2	2	4	1	1	1	1
ORTHOMCL721	0.002	LOC727501	XP_006562527.1	Amel	XM_006562464.3	Background		3	1	3	3	3	1	1	1	1	1	1
ORTHOMCL723	0.006	LOC411812	XP_006559317.1	Amel	XM_006559254.3	Background		3	1	1	2	2	1	1	3	2	1	2
ORTHOMCL724	0.045	LOC725211	XP_006561135.1	Amel	XM_006561072.3	Background		2	1	2	2	1	2	1	1	1	2	4
ORTHOMCL726	0.003	LOC551494	XP_026301954.1	Amel	XM_026446169.1	Background		3	1	1	1	3	1	4	2	1	1	1
ORTHOMCL727	0.02	Syt20	NP_001136033.1	Amel	NM_001142561.1	Background		1	1	2	3	3	1	2	1	1	1	3
ORTHOMCL732	0.002	LOC412880	XP_396332.3	Amel	XM_396332.6	Background		2	1	1	1	6	1	1	1	1	1	3
ORTHOMCL733	0.0	LOC412588	XP_006568193.1	Amel	XM_006568130.3	Background		1	1	1	1	1	1	1	1	1	1	9
ORTHOMCL736	0.0	LOC102654159	XP_026297064.1	Amel	XM_026441279.1	Background		1	1	1	5	5	1	1	1	1	1	1
ORTHOMCL737	0.0	LOC412125	XP_006569847.1	Amel	XM_006569784.3	Background		1	1	5	1	3	1	1	2	1	0	3
ORTHOMCL738	0.013000000000000001	LOC725067	XP_006561685.1	Amel	XM_006561622.3	Background		1	1	3	3	1	1	3	1	1	1	3
ORTHOMCL740	0.002	LOC551094	XP_026300186.1	Amel	XM_026444401.1	Background		1	1	1	1	2	2	6	3	1	0	1
ORTHOMCL741	0.0	LOC411983	NP_001177849.1	Amel	NM_001190920.1	Background		1	1	4	1	1	5	1	2	1	1	1
ORTHOMCL742	0.03	LOC102656021	XP_016767872.1	Amel	XM_016912383.2	Background		1	1	5	5	1	1	1	1	1	1	1
ORTHOMCL743	0.01	LOC100577553	XP_003251001.1	Amel	XM_003250953.4	Background		1	1	1	1	8	1	1	1	1	1	2
ORTHOMCL750	0.002	LOC410687	XP_394164.3	Amel	XM_394164.7	Background		2	1	2	2	6	1	1	1	1	1	1
ORTHOMCL751	0.006999999999999999	LOC412504	XP_395960.3	Amel	XM_395960.7	Background		1	1	5	4	1	1	2	1	1	1	1
ORTHOMCL758	0.001	LOC410558	XP_006565795.1	Amel	XM_006565732.3	Background		1	1	1	1	1	1	3	1	1	1	7
ORTHOMCL759	0.013000000000000001	LOC100578579	XP_026295973.1	Amel	XM_026440188.1	Background		2	1	2	1	1	1	2	1	2	3	3
ORTHOMCL760	0.0	LOC412460	XP_006565218.1	Amel	XM_006565155.3	Background		1	1	1	6	2	1	2	1	1	1	2
ORTHOMCL762	0.0	LOC552005	XP_006557738.1	Amel	XM_006557675.3	Background		1	1	2	4	1	1	1	1	1	1	5
ORTHOMCL765	0.024	TpnT	NP_001035348.1	Amel	NM_001040258.1	Background		1	1	1	2	2	4	2	1	1	1	3
ORTHOMCL767	0.0	LOC552588	XP_026299702.1	Amel	XM_026443917.1	Background		1	1	1	6	3	1	1	1	0	1	3
ORTHOMCL768	0.01	LOC551735	XP_006566522.1	Amel	XM_006566459.2	Background		1	1	1	3	2	1	3	2	1	1	3
ORTHOMCL770	0.023	LOC413215	XP_006569804.2	Amel	XM_006569741.3	Background		1	1	2	2	2	1	1	1	1	2	5
ORTHOMCL773	0.013999999999999999	LOC724666	XP_006571825.1	Amel	XM_006571762.3	Background		1	1	2	2	4	1	1	1	1	1	4
ORTHOMCL774	0.004	LOC409392	XP_006571588.1	Amel	XM_006571525.3	Background		1	1	3	3	1	1	1	1	1	1	5
ORTHOMCL775	0.0	LOC727130	XP_006559325.2	Amel	XM_006559262.3	Background		1	1	1	1	1	1	1	1	1	1	9
ORTHOMCL779	0.0	LOC726839	XP_006565861.2	Amel	XM_006565798.3	Background		1	1	1	0	3	1	1	1	1	1	8
ORTHOMCL781	0.048	LOC724962	XP_016771325.1	Amel	XM_016915836.2	Background		1	1	1	1	2	1	3	2	3	3	1
ORTHOMCL786	0.0	LOC411526	XP_394997.3	Amel	XM_394997.7	Background		4	1	2	3	1	1	1	1	1	1	2
ORTHOMCL788	0.001	LOC413288	XP_006568047.1	Amel	XM_006567984.3	Background		4	1	3	3	1	1	1	1	1	1	1
ORTHOMCL789	0.002	LOC726697	XP_026300986.1	Amel	XM_026445201.1	Background		1	1	2	1	1	1	1	2	1	1	6
ORTHOMCL790	0.002	LOC100576956	XP_006562314.1	Amel	XM_006562251.3	Background		3	1	1	1	2	2	4	1	1	1	1
ORTHOMCL792	0.0	LOC102654510	XP_026296459.1	Amel	XM_026440674.1	Background		5	1	1	1	2	1	1	1	1	1	3
ORTHOMCL794	0.008	LOC107965281	XP_026299510.1	Amel	XM_026443725.1	Background		2	1	3	4	1	1	2	1	1	1	1
ORTHOMCL795	0.0	LOC413040	XP_016768310.1	Amel	XM_016912821.2	Background		5	1	1	1	1	1	2	1	1	1	3
ORTHOMCL796	0.001	LOC551167	XP_006569045.1	Amel	XM_006568982.3	Background		2	1	1	1	1	1	1	6	1	2	1
ORTHOMCL797	0.001	Acph-1	NP_001013377.2	Amel	NM_001013359.2	Background		4	1	1	1	4	1	2	1	1	1	1
ORTHOMCL798	0.02	LOC724991	XP_006571145.1	Amel	XM_006571082.3	Background		3	1	2	2	3	1	1	2	1	1	1
ORTHOMCL801	0.0	LOC412397	XP_623089.2	Amel	XM_623086.6	Background		4	1	1	3	3	1	1	1	1	1	1
ORTHOMCL805	0.023	LOC726325	XP_026300869.1	Amel	XM_026445084.1	Background		2	1	4	4	1	1	1	1	1	1	1
ORTHOMCL806	0.006	LOC410951	XP_006560983.2	Amel	XM_006560920.3	Background		2	1	0	2	2	2	2	1	2	3	1
ORTHOMCL809	0.0	LOC100578628	XP_026300052.1	Amel	XM_026444267.1	Background		1	1	1	8	1	1	1	1	1	1	1
ORTHOMCL811	0.013000000000000001	LOC726405	XP_026300636.1	Amel	XM_026444851.1	Background		1	1	3	2	4	1	2	1	1	1	1
ORTHOMCL814	0.002	LOC409007	XP_006561888.1	Amel	XM_006561825.3	Background		3	1	1	1	1	4	1	1	2	2	1
ORTHOMCL815	0.002	LOC409350	XP_026297588.1	Amel	XM_026441803.1	Background		1	1	3	2	3	1	2	0	1	1	3
ORTHOMCL816	0.042	LOC409690	XP_006570895.1	Amel	XM_006570832.3	Background		2	1	1	1	4	1	1	3	1	1	2
ORTHOMCL817	0.002	LOC551409	XP_026298067.1	Amel	XM_026442282.1	Background		1	1	1	1	1	1	1	1	1	1	8
ORTHOMCL819	0.0	LOC409111	XP_026302189.1	Amel	XM_026446404.1	Background		1	1	1	8	1	1	1	1	1	1	1
ORTHOMCL820	0.004	LOC726096	XP_026301574.1	Amel	XM_026445789.1	Background		1	1	2	1	2	4	3	1	1	1	1
ORTHOMCL824	0.015	LOC551725	XP_026295586.1	Amel	XM_026439801.1	Background		1	1	3	3	1	1	1	1	1	1	4
ORTHOMCL825	0.013000000000000001	LOC725615	XP_006566543.1	Amel	XM_006566480.3	Background		2	1	2	1	2	3	1	1	1	1	3
ORTHOMCL826	0.002	LOC410428	XP_026300480.1	Amel	XM_026444695.1	Background		4	1	1	2	2	2	1	1	1	1	2
ORTHOMCL827	0.013000000000000001	Amih	NP_001011568.1	Amel	NM_001011568.1	Background		3	1	1	1	3	1	1	1	2	2	2
ORTHOMCL828	0.004	LOC411158	XP_026297157.1	Amel	XM_026441372.1	Background		2	1	1	1	6	1	2	1	1	1	1
ORTHOMCL829	0.002	LOC410612	XP_394090.1	Amel	XM_394090.5	Background		2	1	3	2	1	1	4	1	1	1	1
ORTHOMCL830	0.034	LOC409017	XP_016769404.1	Amel	XM_016913915.2	Background		1	1	4	4	1	1	1	1	1	1	2
ORTHOMCL831	0.005	LOC102654379	XP_026296436.1	Amel	XM_026440651.1	Background		1	1	4	4	0	2	1	2	1	1	1
ORTHOMCL834	0.002	LOC411970	XP_395437.4	Amel	XM_395437.7	Background		1	1	4	2	1	1	1	1	1	1	4
ORTHOMCL835	0.008	LOC552001	XP_624386.1	Amel	XM_624383.5	Background		1	1	2	3	1	1	2	1	1	1	4
ORTHOMCL837	0.001	LOC413926	XP_006567760.1	Amel	XM_006567697.3	Background		1	1	3	1	6	1	1	1	1	1	1
ORTHOMCL839	0.002	LOC412630	XP_006565224.1	Amel	XM_006565161.3	Background		2	1	3	5	1	1	1	1	1	1	1
ORTHOMCL840	0.002	LOC411196	XP_394670.3	Amel	XM_394670.7	Background		1	1	2	4	4	1	1	1	1	1	1
ORTHOMCL842	0.0	LOC551043	XP_006558444.1	Amel	XM_006558381.3	Background		1	1	1	1	1	1	1	0	1	1	9
ORTHOMCL843	0.0	LOC411693	XP_016769270.1	Amel	XM_016913781.2	Background		5	1	2	2	2	1	1	1	1	1	1
ORTHOMCL844	0.013000000000000001	LOC411290	XP_006569835.1	Amel	XM_006569772.3	Background		4	1	1	1	2	2	2	1	1	1	2
ORTHOMCL847	0.023	LOC409691	XP_393189.1	Amel	XM_393189.7	Background		2	1	4	4	1	1	1	1	1	1	1
ORTHOMCL849	0.01	LOC409518	XP_016770585.1	Amel	XM_016915096.2	Background		3	1	1	1	3	1	3	1	1	1	2
ORTHOMCL852	0.001	LOC100577440	XP_026298585.1	Amel	XM_026442800.1	Background		2	1	4	5	1	1	1	1	0	1	1
ORTHOMCL853	0.002	LOC410724	XP_006569674.2	Amel	XM_006569611.3	Background		3	1	1	2	2	3	1	2	1	1	1
ORTHOMCL855	0.023	CPR17	NP_001257756.1	Amel	NM_001270827.1	Background		1	1	1	1	4	1	1	1	1	1	5
ORTHOMCL858	0.008	LOC726486	XP_001120846.1	Amel	XM_001120846.5	Background		2	1	3	4	1	1	2	1	1	1	1
ORTHOMCL859	0.015	Fem	NP_001128300.1	Amel	NM_001134828.1	Background		2	1	2	2	2	1	1	1	4	1	1
ORTHOMCL860	0.006999999999999999	LOC410871	XP_394347.5	Amel	XM_394347.7	Background		1	1	3	2	2	1	4	1	1	1	1
ORTHOMCL861	0.015	LOC102653955	XP_026296263.1	Amel	XM_026440478.1	Background		3	1	2	2	3	1	1	1	1	1	2
ORTHOMCL862	0.047	LOC413697	XP_397138.5	Amel	XM_397138.7	Background		2	1	2	3	1	1	2	1	2	2	1
ORTHOMCL863	0.034	LOC411555	XP_006570070.1	Amel	XM_006570007.3	Background		1	1	4	4	1	1	1	1	1	1	2
ORTHOMCL867	0.0	LOC724451	XP_026298822.1	Amel	XM_026443037.1	Background		2	1	3	1	3	2	1	3	1	1	0
ORTHOMCL868	0.033	LOC551099	XP_623500.2	Amel	XM_623497.5	Background		1	1	4	5	1	1	1	1	1	1	1
ORTHOMCL870	0.012	LOC411619	XP_006562035.1	Amel	XM_006561972.3	Background		2	1	3	3	1	1	1	1	1	1	3
ORTHOMCL872	0.01	LOC409197	XP_392721.1	Amel	XM_392721.7	Background		1	1	2	1	2	1	4	3	1	1	1
ORTHOMCL875	0.0	LOC724207	XP_006559259.3	Amel	XM_006559196.3	Background		1	1	1	3	1	6	1	2	1	1	0
ORTHOMCL876	0.023	LOC410753	XP_394229.2	Amel	XM_394229.6	Background		1	1	1	1	3	1	3	1	1	1	4
ORTHOMCL877	0.021	LOC102654405	XP_006570633.1	Amel	XM_006570570.3	Background		2	2	2	3	1	1	1	1	3	1	1
ORTHOMCL878	0.033	LOC552657	XP_026296488.1	Amel	XM_026440703.1	Background		1	1	4	5	1	1	1	1	1	1	1
ORTHOMCL879	0.015	LOC410637	XP_016772497.2	Amel	XM_016917008.2	Background		1	1	1	3	2	2	3	1	1	1	2
ORTHOMCL881	0.002	LOC724370	XP_026296631.1	Amel	XM_026440846.1	Background		3	1	1	1	5	1	2	1	1	1	1
ORTHOMCL883	0.002	LOC100576934	XP_026300920.1	Amel	XM_026445135.1	Background		1	1	2	2	1	1	6	1	1	1	1
